,Fuel Type Code,Station Name,Street Address,City,EV Level2 EVSE Num,EV Network,Latitude,Longitude,ID,EV Connector Types,Facility Type,EV Pricing
0,CNG,Clean Energy - Greenpoint - National Grid,287 Maspeth Ave,Brooklyn,,,40.718037,-73.932309,108,,UTILITY,
1,CNG,Canarsie - National Grid,8424 Ditmas Ave,Brooklyn,,,40.64554,-73.918344,112,,UTILITY,
2,CNG,Con Edison - W 29th St Service Center,281 11th Ave,New York,,,40.752903,-74.005831,124,,UTILITY,
3,CNG,Con Edison - E 16th St Service Center,700 E 16th St,New York,,,40.729175,-73.97331,125,,UTILITY,
4,CNG,Con Edison - Van Nest Service Center,1615 Bronxdale Ave,Bronx,,,40.8441883,-73.8615724,129,,UTILITY,
5,CNG,Con Edison - College Point Service Center,124-15 31st Ave,Queens,,,40.769623,-73.843069,132,,UTILITY,
6,CNG,Bronx Zoo,2300 Southern Blvd,Bronx,,,40.850018,-73.878128,32837,,OTHER_ENTERTAINMENT,
7,CNG,Trillium - MTA New York City Transit - West Farms/Coliseum Depot,1100 E 177th St,Bronx,,,40.838672,-73.877566,32838,,FLEET_GARAGE,
8,CNG,Trillium - MTA - Spring Creek,12755 Flatlands Ave,Brooklyn,,,40.661038,-73.864438,32839,,FLEET_GARAGE,
9,CNG,Trillium - MTA New York City Transit - Jackie Gleason Bus Depot,871 5th Ave,Brooklyn,,,40.6529,-74.0023,32840,,FLEET_GARAGE,
10,CNG,Manhattan Beer,955 E 149th St,Bronx,,,40.808151,-73.902589,35060,,FLEET_GARAGE,
11,ELEC,James J Peters VA Medical Center,130 W Kingsbridge Rd,Bronx,2.0,Non-Networked,40.867403,-73.906405,41240,J1772,HOSPITAL,$0.13 per kWh
12,ELEC,Bay Ridge Nissan,6501 5th Ave,Brooklyn,1.0,Non-Networked,40.636324,-74.019228,44327,J1772,CAR_DEALER,Free
13,ELEC,Bay Ridge Nissan,6501 5th Ave,Brooklyn,1.0,Non-Networked,40.636324,-74.019228,44328,J1772,CAR_DEALER,
14,ELEC,Kings Nissan,2758 Coney Island Ave,Brooklyn,1.0,Non-Networked,40.589167,-73.960707,44329,J1772,CAR_DEALER,Free
15,ELEC,Kings Nissan,2758 Coney Island Ave,Brooklyn,1.0,Non-Networked,40.589167,-73.960707,44330,J1772,CAR_DEALER,
16,E85,JFK Airport Travel Plaza - National Grid - Clean Energy,150th Ave & 147th St,Queens,,,40.66297896114984,-73.7921584550171,61345,,TRAVEL_CENTER,
17,ELEC,Dana Ford Lincoln,266 W Service Rd,Staten Island,1.0,Non-Networked,40.587162,-74.194747,64140,J1772,CAR_DEALER,Free
18,ELEC,Port Authority Bus Terminal,625 8th Ave,New York,2.0,EV Connect,40.756177,-73.990558,65287,J1772,PARKING_GARAGE,
19,ELEC,Bay Ridge Municipal Parking Garage,8501 5th Ave,Brooklyn,5.0,EV Connect,40.62215,-74.02565,65288,J1772,PAY_GARAGE,Free
20,ELEC,Court Square Municipal Parking Garage,45 Court Square,Queens,9.0,EV Connect,40.745358,-73.942642,65290,J1772,PARKING_LOT,Free
21,ELEC,East 149th Street Municipal Parking Garage,315 E 149th St,Bronx,3.0,EV Connect,40.817326,-73.920914,65291,J1772,PARKING_LOT,Free
22,ELEC,Saint George Courthouse,54 Central Ave,Staten Island,5.0,EV Connect,40.63947,-74.076912,65296,J1772,PARKING_LOT,
23,ELEC,United Parcel Service,643 W 43rd St,New York,2.0,Non-Networked,40.762442,-74.000055,74648,J1772,FLEET_GARAGE,
24,CNG,Clean Energy - Bronx NY,1361 Ryawa Ave,Bronx,,,40.805695,-73.880803,77158,,STANDALONE_STATION,
25,E85,Conoco,1121 Pennsylvania Ave,Brooklyn,,,40.653468,-73.886256,79194,,CONVENIENCE_STORE,
26,CNG,Trillium,750-770 Zerega Ave,Bronx,,,40.82289,-73.841375,79256,,STANDALONE_STATION,
27,ELEC,Parking Garage,2478 Jerome Ave,Bronx,1.0,EV Connect,40.863131,-73.900529,94830,J1772,PAY_GARAGE,
28,ELEC,Parking Garage,59 Paidge Ave,Brooklyn,10.0,EV Connect,40.737171,-73.949257,94831,J1772,PAY_GARAGE,
29,ELEC,Brooklyn Navy Yard,63 Flushing Ave,Brooklyn,8.0,EV Connect,40.698235,-73.975114,94832,J1772,MUNI_GOV,
30,ELEC,Delancey & Essex Municipal Parking Garage,107 Essex St,Manhattan,5.0,EV Connect,40.719051,-73.988181,94848,J1772,MUNI_GOV,
31,ELEC,Spectrum,401 W 219th St,New York,8.0,EV Connect,40.87121,-73.911616,94854,J1772,OFFICE_BLDG,
32,ELEC,Spectrum,100 Cable Way,Staten Island,2.0,EV Connect,40.630898,-74.168358,94861,J1772,OFFICE_BLDG,
33,ELEC,Central Parking - Tower 31,9 W 31st Street,New York,1.0,Blink Network,40.747098,-73.986641,95069,J1772,,Level 2: $0.59 per kWh
34,ELEC,Tribeca Park,400 Chambers St,New York,2.0,Blink Network,40.717717,-74.015049,96646,J1772,,Level 2: $0.59 per kWh
35,ELEC,Environmental Protection Agency,290 Broadway,New York,5.0,Non-Networked,40.714723,-74.005143,98674,J1772,FED_GOV,
36,ELEC,Nissan of Staten Island,1976 Hylan Blvd,Staten Island,1.0,Non-Networked,40.581432,-74.097694,99500,J1772,CAR_DEALER,Free
37,ELEC,North 12 Parking (at the William Vale) - Tesla Supercharger,113 N. 12th Street,Brooklyn,,Tesla,40.721853,-73.956658,102327,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
38,ELEC,Mott Street Parking - Tesla Supercharger,106 Mott Street,New York,,Tesla,40.717522,-73.997302,102334,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
39,ELEC,W 75th Parking Garage - Tesla Supercharger,201 W 75th Street,New York,,Tesla,40.780976,-73.980414,102335,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
40,ELEC,E 47th Street - Tesla Supercharger,212 East 47th Street,New York,,Tesla,40.753356,-73.971685,102336,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
41,ELEC,JFK Airport Travel Plaza - Tesla Supercharger,150th Ave and 147th St,Queens,,Tesla,40.66179,-73.79282,102341,TESLA,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW
42,ELEC,WCS NS1 BOSTON RD,Boston Rd,Bronx,1.0,ChargePoint Network,40.846205,-73.876513,104341,J1772,,
43,ELEC,Century Parking Corp - Tesla Destination,2600 Netherland Ave,Bronx,4.0,Tesla Destination,40.878611,-73.914792,114888,TESLA,PAY_GARAGE,Free
44,ELEC,Standard Parking 1360 Fulton Street - Tesla Destination,1360  Fulton St,Brooklyn,2.0,Tesla Destination,40.679983,-73.946504,114889,TESLA,PAY_GARAGE,Free
45,ELEC,Standard Parking 15 Metrotech - Tesla Destination,15 Metrotech Ctr S,Brooklyn,3.0,Tesla Destination,40.693317,-73.9871,114890,J1772 TESLA,PAY_GARAGE,Free
46,ELEC,Quik Park Armory Parking Inc. - Tesla Destination,172 Vanderbilt,Brooklyn,2.0,Tesla Destination,40.692372,-73.969893,114891,TESLA,PAY_GARAGE,Free
47,ELEC,Discount Parking 180 Ashland Place - Tesla Destination,180 Ashland Pl,Brooklyn,2.0,Tesla Destination,40.689411,-73.978741,114892,TESLA,PAY_GARAGE,Free
48,ELEC,iPark 22/34 N 6th Garage Corp - Tesla Destination,22 N 5th St,Brooklyn,4.0,Tesla Destination,40.718794,-73.962594,114893,J1772 TESLA,PAY_GARAGE,Free
49,ELEC,iPark 247 N 7th Street - Tesla Destination,249 N 7th St,Brooklyn,3.0,Tesla Destination,40.716085,-73.954508,114894,J1772 TESLA,PAY_GARAGE,Free
50,ELEC,Parkright 257 Gold Street - Tesla Destination,257  Gold St,Brooklyn,3.0,Tesla Destination,40.696871,-73.983002,114895,J1772 TESLA,HOTEL,Free
51,ELEC,Standard Parking Pierepoint Plaza - Tesla Destination,300 Cadman,Brooklyn,3.0,Tesla Destination,40.695115,-73.990993,114896,J1772 TESLA,PAY_GARAGE,Free
52,ELEC,Enterprise 309 Gold Street - Tesla Destination,309 Gold St,Brooklyn,3.0,Tesla Destination,40.695013,-73.982843,114897,J1772 TESLA,HOTEL,Free
53,ELEC,iPark NYC 2234 North 6th - Tesla Destination,34 North 6th St,Brooklyn,3.0,Tesla Destination,40.719756,-73.962933,114898,J1772 TESLA,PAY_GARAGE,Free
54,ELEC,Standard Parking 1 Metrotech - Tesla Destination,351 Jay St,Brooklyn,3.0,Tesla Destination,40.693216,-73.986716,114900,J1772 TESLA,PAY_GARAGE,Free
55,ELEC,GGMC Belltel Car Park - Tesla Destination,356  Bridge St,Brooklyn,3.0,Tesla Destination,40.692645,-73.985451,114901,J1772 TESLA,PAY_GARAGE,Free
56,ELEC,Quik Park 365 Management LLC - Tesla Destination,365 Bond St,Brooklyn,3.0,Tesla Destination,40.677433,-73.990299,114902,J1772 TESLA,PAY_GARAGE,Free
57,ELEC,GMC 388 Bridge Street - Tesla Destination,388 Bridge St,Brooklyn,3.0,Tesla Destination,40.691652,-73.985733,114903,TESLA,PAY_GARAGE,Free
58,ELEC,Quik Park Brooklyn Bridge LLC - Tesla Destination,4 Joralemon St,Brooklyn,3.0,Tesla Destination,40.693949,-74.00025,114904,J1772 TESLA,PAY_GARAGE,Free
59,ELEC,Rapidpark 44 State Street - Tesla Destination,44 State St,Brooklyn,3.0,Tesla Destination,40.691871,-73.998307,114905,J1772 TESLA,PAY_GARAGE,Free
60,ELEC,Park Kwik LLC 50 Washington St. - Tesla Destination,45 Main St,Brooklyn,3.0,Tesla Destination,40.702769,-73.990584,114906,J1772 TESLA,PAY_GARAGE,Free
61,ELEC,Kings County Parking - Tesla Destination,581 Clarkson Ave,Brooklyn,2.0,Tesla Destination,40.656148,-73.940355,114907,TESLA,PAY_GARAGE,Free
62,ELEC,1 Hotel Brooklyn Bridge - Tesla Destination,60 Furman St,Brooklyn,7.0,Tesla Destination,40.702241,-73.995539,114908,J1772 TESLA,HOTEL,Free
63,ELEC,City Parking Linc Garage - Tesla Destination,62 Northside Piers,Brooklyn,3.0,Tesla Destination,40.71955,-73.96413,114909,J1772 TESLA,PAY_GARAGE,Free
64,ELEC,"Littleman Driggs Parking, LLC - Tesla Destination",626  Driggs Ave,Brooklyn,3.0,Tesla Destination,40.715405,-73.958638,114910,J1772 TESLA,PAY_GARAGE,Free
65,ELEC,GGMC Parking 66 Rockwell Pl Garage - Tesla Destination,66 Rockwell Pl,Brooklyn,3.0,Tesla Destination,40.68806,-73.979449,114911,J1772 TESLA,PAY_GARAGE,Free
66,ELEC,Standard Parking 200 Cadman Plaza West - Tesla Destination,75 Henry St,Brooklyn,3.0,Tesla Destination,40.698807,-73.991859,114912,J1772 TESLA,PAY_GARAGE,Free
67,ELEC,GGMC Parking 75 Smith St Garage - Tesla Destination,75 Smith St,Brooklyn,3.0,Tesla Destination,40.688799,-73.988642,114913,J1772 TESLA,PAY_GARAGE,Free
68,ELEC,Standard Parking 2 Metrotech - Tesla Destination,8 Metrotech Ctr S,Brooklyn,3.0,Tesla Destination,40.692919,-73.987193,114914,J1772 TESLA,PAY_GARAGE,Free
69,ELEC,Quik Park 81 Fleet Place LLC - Tesla Destination,81 Fleet Pl,Brooklyn,3.0,Tesla Destination,40.693208,-73.981326,114915,J1772 TESLA,PAY_GARAGE,Free
70,ELEC,Rapidpark 906 Union Street - Tesla Destination,906 Union St,Brooklyn,3.0,Tesla Destination,40.672726,-73.971664,114916,J1772 TESLA,PAY_GARAGE,Free
71,ELEC,MPG 100 Jay Street - Tesla Destination,100 Jay St,Brooklyn,3.0,Tesla Destination,40.702004,-73.987053,114917,J1772 TESLA,PAY_GARAGE,Free
72,ELEC,imPark 101 Bedford Ave - Tesla Destination,101  Bedford Ave,Brooklyn,3.0,Tesla Destination,40.720014,-73.95455,114918,J1772 TESLA,PAY_GARAGE,Free
73,ELEC,The William Vale Hotel - Tesla Destination,111 N 12th St,Brooklyn,4.0,Tesla Destination,40.722362,-73.957208,114919,TESLA,HOTEL,Free
74,ELEC,Icon Parking 235 W 48th - Tesla Destination,235 W 48th St,Manhattan,4.0,Tesla Destination,40.760856,-73.986218,114972,TESLA,PAY_GARAGE,Free
75,ELEC,Icon Parking 360 E 65th - Tesla Destination,360 E 65th St,Manhattan,4.0,Tesla Destination,40.763564,-73.960236,114973,TESLA,PAY_GARAGE,Free
76,ELEC,Icon Parking 205 E 63rd St - Tesla Destination,205  E 63rd St,Manhattan,2.0,Tesla Destination,40.764174,-73.964533,114974,TESLA,PAY_GARAGE,Free
