,route,UpLocationId,DOLocationID,wait_time,Hour_0,Hour_f,trip_time,trip_distance,total_amount,CO2_emission,Mantenimiento_anual,Costo_comb,Utilidad
0,Yorkville East --> UN/Turtle Bay South,262,233,0 days 00:03:48.181165,0 days 00:03:48.181165,0 days 00:08:54.285714,8.904761904761905,2.61,20.18095238095238,1251.44802,650.0,9.4482,10.72564274378451
1,UN/Turtle Bay South --> Chinatown,233,45,0 days 00:15:37.718049,0 days 00:24:32.003763,0 days 00:26:06.285714,17.2,4.5,29.125000000000007,2157.669,650.0,16.29,12.827890362832138
2,Chinatown --> Union Sq,45,234,0 days 00:00:00,0 days 00:26:06.285714,0 days 00:40:21.285714,14.25,1.9,21.97,911.0157999999999,650.0,6.878,15.084890362832128
3,Union Sq --> Kips Bay,234,137,0 days 00:00:00,0 days 00:40:21.285714,0 days 00:48:50.174603,8.481481481481481,1.19,16.91333333333333,570.58358,650.0,4.3078,12.59842369616546
4,Kips Bay --> LaGuardia Airport,137,138,0 days 00:00:00,0 days 00:48:50.174603,0 days 01:07:20.174603,18.5,9.48,63.685,4545.48936,650.0,34.317600000000006,29.360290362832124
5,LaGuardia Airport --> Midtown North,138,163,0 days 00:00:00,0 days 01:07:20.174603,0 days 01:49:44.619047,42.407407407407405,11.5,84.09148148148148,5514.043,650.0,41.63,42.454371844313606
6,Midtown North --> Penn Station/Madison Sq West,163,186,0 days 00:00:00,0 days 01:49:44.619047,0 days 01:59:08.339977,9.395348837209303,1.03,16.86488372093023,493.86646,650.0,3.7286,13.12917408376236
7,Penn Station/Madison Sq West --> Greenwich Village North,186,113,0 days 00:00:00,0 days 01:59:08.339977,0 days 02:08:50.692918,9.705882352941176,1.49,18.0221568627451,714.42818,650.0,5.3938,12.62124722557723
8,Greenwich Village North --> Midtown Center,113,161,0 days 00:00:00,0 days 02:08:50.692918,0 days 02:27:29.065011,18.63953488372093,2.3,24.988953488372093,1102.8085999999998,650.0,8.325999999999999,16.655843851204224
9,Midtown Center --> Midtown Center,161,161,0 days 00:00:00,0 days 02:27:29.065011,0 days 02:27:57.178783,0.468562874251497,0.0,30.615953093812372,0.0,650.0,0.0,30.6088434566445
10,Midtown Center --> Union Sq,161,234,0 days 00:00:00,0 days 02:27:57.178783,0 days 02:40:57.178783,13.0,1.82,19.27246753246753,872.65724,650.0,6.5884,12.67695789529966
11,,234,264,0 days 00:00:00,0 days 02:40:57.178783,0 days 02:51:18.178783,10.35,1.4,18.533000000000005,671.2748,650.0,5.068,13.457890362832135
12,,264,107,0 days 00:00:00,0 days 02:51:18.178783,0 days 02:56:18.178783,5.0,0.7,13.934999999999999,335.6374,650.0,2.534,11.39389036283213
13,Gramercy --> Flatiron,107,90,0 days 00:00:00,0 days 02:56:18.178783,0 days 03:03:40.352696,7.369565217391305,0.81,14.497826086956522,388.38042,650.0,2.9322000000000004,11.558516449788652
14,Flatiron --> TriBeCa/Civic Center,90,231,0 days 00:00:00,0 days 03:03:40.352696,0 days 03:16:40.352696,13.0,2.24,21.44058823529412,1074.03968,650.0,8.1088,13.324678598126248
15,TriBeCa/Civic Center --> West Chelsea/Hudson Yards,231,246,0 days 00:00:00,0 days 03:16:40.352696,0 days 03:35:40.352696,19.0,3.83,34.62,1836.4160599999998,650.0,13.864600000000001,20.748290362832122
16,West Chelsea/Hudson Yards --> West Village,246,249,0 days 00:00:00,0 days 03:35:40.352696,0 days 03:48:30.352696,12.833333333333334,2.29,22.53166666666667,1098.01378,650.0,8.2898,14.2347570294988
17,West Village --> Flatiron,249,90,0 days 00:00:00,0 days 03:48:30.352696,0 days 03:53:31.931643,5.026315789473684,0.8,13.95486842105263,383.5856,650.0,2.8960000000000004,11.05175878388476
18,Flatiron --> Sutton Place/Turtle Bay North,90,229,0 days 00:00:00,0 days 03:53:31.931643,0 days 04:09:50.879011,16.31578947368421,2.3,24.595,1102.8085999999998,650.0,8.325999999999999,16.261890362832126
19,Sutton Place/Turtle Bay North --> Upper East Side South,229,237,0 days 00:00:00,0 days 04:09:50.879011,0 days 04:18:50.181337,8.988372093023257,1.07,16.758023255813956,513.04574,650.0,3.8734,12.877513618646086
20,Upper East Side South --> SoHo,237,211,0 days 00:00:00,0 days 04:18:50.181337,0 days 04:45:36.335183,26.76923076923077,3.9,34.22615384615385,1869.9798,650.0,14.118,20.101044208985975
21,SoHo --> Lincoln Square West,211,143,0 days 00:00:00,0 days 04:45:36.335183,0 days 05:11:36.335183,26.0,3.92,30.1,1879.5694400000002,650.0,14.1904,15.90249036283213
22,Lincoln Square West --> Central Park,143,43,0 days 00:00:00,0 days 05:11:36.335183,0 days 05:23:12.335183,11.6,2.46,22.3,1179.52572,650.0,8.9052,13.38769036283213
23,Central Park --> Upper West Side North,43,238,0 days 00:00:00,0 days 05:23:12.335183,0 days 05:26:47.789728,3.590909090909091,0.7,12.187613636363638,335.6374,650.0,2.534,9.646503999195767
24,Upper West Side North --> Penn Station/Madison Sq West,238,186,0 days 00:00:00,0 days 05:26:47.789728,0 days 05:47:17.789728,20.5,3.25,28.34375,1558.3165,650.0,11.765,16.571640362832127
25,Penn Station/Madison Sq West --> East Chelsea,186,68,0 days 00:00:00,0 days 05:47:17.789728,0 days 05:58:09.218299,10.857142857142858,1.48,19.698571428571427,709.63336,650.0,5.3576,14.333861791403557
26,East Chelsea --> Penn Station/Madison Sq West,68,186,0 days 00:00:00,0 days 05:58:09.218299,0 days 06:05:36.910607,7.461538461538462,0.98,15.943076923076923,469.89236000000005,650.0,3.5476,12.388367285909053
27,Penn Station/Madison Sq West --> Times Sq/Theatre District,186,230,0 days 00:00:00,0 days 06:05:36.910607,0 days 06:19:36.589751,13.994652406417112,0.92,19.98144385026738,441.12344,650.0,3.3304,16.643934213099506
28,Times Sq/Theatre District --> Midtown South,230,164,0 days 00:00:00,0 days 06:19:36.589751,0 days 06:29:25.661180,9.817857142857143,1.0,16.832428571428572,479.48199999999997,650.0,3.62,13.205318934260701
29,Midtown South --> Union Sq,164,234,0 days 00:00:00,0 days 06:29:25.661180,0 days 06:33:58.712027,4.5508474576271185,0.79,12.790677966101695,378.79078000000004,650.0,2.8598000000000003,9.923768328933825
30,Union Sq --> East Chelsea,234,68,0 days 00:00:00,0 days 06:33:58.712027,0 days 06:43:24.330005,9.426966292134832,1.21,16.925168539325842,580.17322,650.0,4.3802,12.537858902157971
31,East Chelsea --> East Chelsea,68,68,0 days 00:00:00,0 days 06:43:24.330005,0 days 06:49:12.126615,5.796610169491525,1.03,14.342203389830509,493.86646,650.0,3.7286,10.606493752662638
32,East Chelsea --> Union Sq,68,234,0 days 00:00:00,0 days 06:49:12.126615,0 days 07:02:52.126615,13.666666666666666,1.8,21.980714285714285,863.0676,650.0,6.516,15.457604648546415
33,Union Sq --> East Village,234,79,0 days 00:00:00,0 days 07:02:52.126615,0 days 07:11:48.058818,8.932203389830509,1.27,17.64271186440678,608.94214,650.0,4.5974,13.03820222723891
34,East Village --> East Village,79,79,0 days 00:00:00,0 days 07:11:48.058818,0 days 07:17:47.751126,5.994871794871795,0.9,14.74148717948718,431.5338,650.0,3.258,11.47637754231931
35,East Village --> Lower East Side,79,148,0 days 00:00:00,0 days 07:17:47.751126,0 days 07:25:13.384037,7.427215189873418,0.9,15.768512658227849,431.5338,650.0,3.258,12.50340302105998
36,Lower East Side --> Garment District,148,100,0 days 00:00:00,0 days 07:25:13.384037,0 days 07:48:43.384037,23.5,3.29,30.048333333333332,1577.49578,650.0,11.9098,18.13142369616546
37,Garment District --> Midtown East,100,162,0 days 00:00:00,0 days 07:48:43.384037,0 days 07:56:59.747673,8.272727272727273,0.74,14.597272727272726,354.81668,650.0,2.6788,11.911363090104855
38,Midtown East --> Penn Station/Madison Sq West,162,186,0 days 00:00:00,0 days 07:56:59.747673,0 days 08:08:41.545426,11.696629213483146,1.22,17.298202247191014,584.96804,650.0,4.4164,12.874692610023144
39,Penn Station/Madison Sq West --> Murray Hill,186,170,0 days 00:00:00,0 days 08:08:41.545426,0 days 08:18:49.277385,10.128865979381443,0.98,16.580000000000002,469.89236000000005,650.0,3.5476,13.025290362832132
40,Murray Hill --> Upper East Side South,170,237,0 days 00:00:00,0 days 08:18:49.277385,0 days 08:31:29.499607,12.670370370370371,1.4,19.96737037037037,671.2748,650.0,5.068,14.892260733202502
41,Upper East Side South --> Upper West Side North,237,238,0 days 00:00:00,0 days 08:31:29.499607,0 days 08:41:08.042653,9.642384105960264,1.6,18.865761589403974,767.1712,650.0,5.792000000000001,13.066651952236102
42,Upper West Side North --> Upper West Side North,238,238,0 days 00:00:00,0 days 08:41:08.042653,0 days 08:44:26.538894,3.308270676691729,0.59,11.209172932330826,282.89438,650.0,2.1358,9.066263295162956
43,Upper West Side North --> Bloomingdale,238,24,0 days 00:00:00,0 days 08:44:26.538894,0 days 08:49:23.811621,4.954545454545454,0.99,12.847954545454547,474.68717999999996,650.0,3.5838,9.257044908286677
