,route,UpLocationId,DOLocationID,wait_time,Hour_0,Hour_f,trip_time,trip_distance,total_amount,CO2_emission,Mantenimiento_anual,Costo_comb,Utilidad
0,Yorkville East --> UN/Turtle Bay South,262,233,0 days 00:03:48.181165,0 days 00:03:48.181165,0 days 00:08:54.285714,8.904761904761905,2.61,20.18095238095238,0.0,0,0.13031056451612902,20.05064181643625
1,UN/Turtle Bay South --> Chinatown,233,45,0 days 00:15:37.718049,0 days 00:24:32.003763,0 days 00:26:06.285714,17.2,4.5,29.125000000000007,0.0,0,0.22467338709677417,28.900326612903232
2,Chinatown --> Union Sq,45,234,0 days 00:00:00,0 days 00:26:06.285714,0 days 00:40:21.285714,14.25,1.9,21.97,0.0,0,0.09486209677419354,21.875137903225806
3,Union Sq --> Kips Bay,234,137,0 days 00:00:00,0 days 00:40:21.285714,0 days 00:48:50.174603,8.481481481481481,1.19,16.91333333333333,0.0,0,0.05941362903225806,16.853919704301074
4,Kips Bay --> LaGuardia Airport,137,138,0 days 00:00:00,0 days 00:48:50.174603,0 days 01:07:20.174603,18.5,9.48,63.685,0.0,0,0.47331193548387096,63.21168806451613
5,LaGuardia Airport --> Midtown North,138,163,0 days 00:00:00,0 days 01:07:20.174603,0 days 01:49:44.619047,42.407407407407405,11.5,84.09148148148148,0.0,0,0.5741653225806451,83.51731615890084
6,Midtown North --> Penn Station/Madison Sq West,163,186,0 days 00:00:00,0 days 01:49:44.619047,0 days 01:59:08.339977,9.395348837209303,1.03,16.86488372093023,0.0,0,0.05142524193548387,16.813458478994747
7,Penn Station/Madison Sq West --> Greenwich Village North,186,113,0 days 00:00:00,0 days 01:59:08.339977,0 days 02:08:50.692918,9.705882352941176,1.49,18.0221568627451,0.0,0,0.07439185483870968,17.94776500790639
8,Greenwich Village North --> Midtown Center,113,161,0 days 00:00:00,0 days 02:08:50.692918,0 days 02:27:29.065011,18.63953488372093,2.3,24.988953488372093,0.0,0,0.11483306451612901,24.874120423855963
9,Midtown Center --> Midtown Center,161,161,0 days 00:00:00,0 days 02:27:29.065011,0 days 02:27:57.178783,0.468562874251497,0.0,30.615953093812372,0.0,0,0.0,30.615953093812372
10,Midtown Center --> Union Sq,161,234,0 days 00:00:00,0 days 02:27:57.178783,0 days 02:40:57.178783,13.0,1.82,19.27246753246753,0.0,0,0.09086790322580646,19.181599629241724
11,,234,264,0 days 00:00:00,0 days 02:40:57.178783,0 days 02:51:18.178783,10.35,1.4,18.533000000000005,0.0,0,0.06989838709677419,18.46310161290323
12,,264,107,0 days 00:00:00,0 days 02:51:18.178783,0 days 02:56:18.178783,5.0,0.7,13.934999999999999,0.0,0,0.034949193548387096,13.900050806451612
13,Gramercy --> Flatiron,107,90,0 days 00:00:00,0 days 02:56:18.178783,0 days 03:03:40.352696,7.369565217391305,0.81,14.497826086956522,0.0,0,0.040441209677419356,14.457384877279102
14,Flatiron --> TriBeCa/Civic Center,90,231,0 days 00:00:00,0 days 03:03:40.352696,0 days 03:16:40.352696,13.0,2.24,21.44058823529412,0.0,0,0.11183741935483872,21.32875081593928
15,TriBeCa/Civic Center --> West Chelsea/Hudson Yards,231,246,0 days 00:00:00,0 days 03:16:40.352696,0 days 03:35:40.352696,19.0,3.83,34.62,0.0,0,0.19122201612903225,34.428777983870965
16,West Chelsea/Hudson Yards --> West Village,246,249,0 days 00:00:00,0 days 03:35:40.352696,0 days 03:48:30.352696,12.833333333333334,2.29,22.53166666666667,0.0,0,0.11433379032258065,22.41733287634409
17,West Village --> Flatiron,249,90,0 days 00:00:00,0 days 03:48:30.352696,0 days 03:53:31.931643,5.026315789473684,0.8,13.95486842105263,0.0,0,0.03994193548387097,13.91492648556876
18,Flatiron --> Sutton Place/Turtle Bay North,90,229,0 days 00:00:00,0 days 03:53:31.931643,0 days 04:09:50.879011,16.31578947368421,2.3,24.595,0.0,0,0.11483306451612901,24.48016693548387
19,Sutton Place/Turtle Bay North --> Upper East Side South,229,237,0 days 00:00:00,0 days 04:09:50.879011,0 days 04:18:50.181337,8.988372093023257,1.07,16.758023255813956,0.0,0,0.05342233870967742,16.70460091710428
20,Upper East Side South --> SoHo,237,211,0 days 00:00:00,0 days 04:18:50.181337,0 days 04:45:36.335183,26.76923076923077,3.9,34.22615384615385,0.0,0,0.19471693548387095,34.03143691066998
21,SoHo --> Lincoln Square West,211,143,0 days 00:00:00,0 days 04:45:36.335183,0 days 05:11:36.335183,26.0,3.92,30.1,0.0,0,0.19571548387096774,29.904284516129035
22,Lincoln Square West --> Central Park,143,43,0 days 00:00:00,0 days 05:11:36.335183,0 days 05:23:12.335183,11.6,2.46,22.3,0.0,0,0.12282145161290321,22.177178548387097
23,Central Park --> Upper West Side North,43,238,0 days 00:00:00,0 days 05:23:12.335183,0 days 05:26:47.789728,3.590909090909091,0.7,12.187613636363638,0.0,0,0.034949193548387096,12.15266444281525
24,Upper West Side North --> Penn Station/Madison Sq West,238,186,0 days 00:00:00,0 days 05:26:47.789728,0 days 05:47:17.789728,20.5,3.25,28.34375,0.0,0,0.1622641129032258,28.181485887096773
25,Penn Station/Madison Sq West --> East Chelsea,186,68,0 days 00:00:00,0 days 05:47:17.789728,0 days 05:58:09.218299,10.857142857142858,1.48,19.698571428571427,0.0,0,0.07389258064516128,19.624678847926265
26,East Chelsea --> Penn Station/Madison Sq West,68,186,0 days 00:00:00,0 days 05:58:09.218299,0 days 06:05:36.910607,7.461538461538462,0.98,15.943076923076923,0.0,0,0.048928870967741935,15.89414805210918
27,Penn Station/Madison Sq West --> Times Sq/Theatre District,186,230,0 days 00:00:00,0 days 06:05:36.910607,0 days 06:19:36.589751,13.994652406417112,0.92,19.98144385026738,0.0,0,0.045933225806451615,19.935510624460928
28,Times Sq/Theatre District --> Midtown South,230,164,0 days 00:00:00,0 days 06:19:36.589751,0 days 06:29:25.661180,9.817857142857143,1.0,16.832428571428572,0.0,0,0.04992741935483871,16.782501152073735
29,Midtown South --> Union Sq,164,234,0 days 00:00:00,0 days 06:29:25.661180,0 days 06:33:58.712027,4.5508474576271185,0.79,12.790677966101695,0.0,0,0.03944266129032258,12.751235304811372
